,year,artist.inverted,track,time,genre,date.entered,date.peaked,Weeks on Billboard,Top Billboard Rank,Week,Ranking,Hello
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,1.0,1,78.0,Rock
1,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,1.0,1,15.0,Rock
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,1.0,1,71.0,Rock
3,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,1.0,1,41.0,Rock
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,1.0,1,57.0,Rock
5,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,1.0,1,59.0,Rock
6,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,1.0,1,83.0,Rock
7,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20,1.0,1,63.0,Others
8,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,1.0,1,77.0,Rock
9,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,1.0,1,81.0,Country
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,25,1.0,1,82.0,Rock
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,24,1.0,1,71.0,Rock
12,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,41,1.0,1,70.0,Rock
13,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,47,1.0,1,84.0,Rock
14,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,32,1.0,1,59.0,Rock
15,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,39,1.0,1,60.0,Rock
16,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,20,1.0,1,82.0,Rock
17,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,53,2.0,1,81.0,Rap
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,30,2.0,1,72.0,Rock
19,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,28,2.0,1,99.0,Rock
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,37,2.0,1,63.0,Rock
21,2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,32,2.0,1,77.0,Others
22,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,20,2.0,1,51.0,Rock
23,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,32,3.0,1,74.0,Rock
24,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,53,3.0,1,81.0,Rock
25,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,28,3.0,1,74.0,Rock
26,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,22,3.0,1,50.0,Rock
27,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,28,4.0,1,81.0,Rock
28,2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,44,4.0,1,94.0,Rock
29,2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,32,4.0,1,92.0,Rap
30,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,23,4.0,1,42.0,Rock
31,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,19,4.0,1,70.0,Rap
32,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,27,4.0,1,85.0,Rock
33,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,22,4.0,1,85.0,Rock
34,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,29,5.0,1,73.0,Others
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,21,5.0,1,36.0,Rap
36,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,27,5.0,1,68.0,Rock
37,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,26,5.0,1,68.0,Rock
38,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,26,5.0,1,76.0,Rock
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,24,6.0,1,74.0,Rock
40,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,27,6.0,1,85.0,Rock
41,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,28,6.0,1,74.0,Rock
42,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,23,6.0,1,89.0,Rock
