,National Price,First Difference,Original Variance,Lag 1,Lag 4,Lag 13,Lag 52,lower National Price,upper National Price
2010-02-19,6130.76,,,,,,,-642.659412579,642.659412579
2010-02-26,6150.95,20.19,,,,,,5676.41499483,6586.60396241
2010-03-05,6146.05,-4.9,,20.19,,,,5695.86026222,6606.04921632
2010-03-12,6052.61,-93.44,,-4.9,,,,5690.95432726,6601.14328136
2010-03-19,6033.04,-19.57,,-93.44,,,,5597.49274415,6507.68169825
2010-03-26,5999.59,-33.45,,-19.57,20.19,,,5577.94075767,6488.12971177
2010-04-02,5979.02,-20.57,,-33.45,-4.9,,,5544.48736957,6454.67632367
2010-04-09,5965.06,-13.96,,-20.57,-93.44,,,5523.92051032,6434.10946442
2010-04-16,5887.1,-77.96,,-13.96,-19.57,,,5509.96212096,6420.15107506
2010-04-23,5779.33,-107.77,,-77.96,-33.45,,,5431.98651845,6342.17547255
2010-04-30,5752.47,-26.86,,-107.77,-20.57,,,5324.20925508,6234.39820918
2010-05-07,5739.29,-13.18,,-26.86,-13.96,,,5297.36898134,6207.55793544
2010-05-14,5661.81,-77.48,,-13.18,-77.96,,,5284.19231149,6194.38126558
2010-05-21,5620.14,-41.67,,-77.48,-107.77,,,5206.69663542,6116.88558952
2010-05-28,5533.2,-86.94,,-41.67,-26.86,20.19,,5165.03536912,6075.22432321
2010-06-04,5374.69,-158.51,66010.8306524,-86.94,-13.18,-4.9,,5078.08433093,5988.27328502
2010-06-11,5426.49,51.8,60214.280492,-158.51,-77.48,-93.44,,4919.55688606,5829.74584016
2010-06-18,5322.56,-103.93,52683.1442326,51.8,-41.67,-19.57,,4971.40816033,5881.59711443
2010-06-25,5336.54,13.98,44625.8736971,-103.93,-86.94,-33.45,,4867.4401835,5777.62913759
2010-07-02,5375.61,39.07,39035.5242409,13.98,-158.51,-20.57,,4881.44893722,5791.63789131
2010-07-09,5386.56,10.95,33721.692212,39.07,51.8,-13.96,,4920.52504672,5830.71400082
2010-07-16,5439.9,53.34,28924.7902585,10.95,-103.93,-77.96,,4931.46819005,5841.65714415
2010-07-23,5557.73,117.83,24673.8356648,53.34,13.98,-107.77,,4984.81852569,5895.00747979
2010-07-30,5640.96,83.23,20286.0362378,117.83,39.07,-26.86,,5102.66424474,6012.85319884
2010-08-06,5595.18,-45.78,17737.710274,83.23,10.95,-13.18,,5185.88580602,6096.07476011
2010-08-13,5713.05,117.87,17633.1041885,-45.78,53.34,-77.48,,5140.07435762,6050.26331171
2010-08-20,5670.74,-42.31,17307.0844386,117.87,117.83,-41.67,,5257.98426038,6168.17321448
2010-08-27,5705.4,34.66,18876.1637582,-42.31,83.23,-86.94,,5215.63520148,6125.82415558
2010-09-03,5613.96,-91.44,21689.5195857,34.66,-45.78,-158.51,,5250.31397499,6160.50292909
2010-09-10,5634.73,20.77,28329.9092351,-91.44,117.87,51.8,,5158.84322937,6069.03218346
2010-09-17,5559.34,-75.39,35275.5084792,20.77,-42.31,-103.93,,5179.64059176,6089.82954586
2010-09-24,5617.79,58.45,38876.3894947,-75.39,34.66,13.98,,5104.22714291,6014.41609701
2010-10-01,5665.56,47.77,45982.0273661,58.45,-91.44,39.07,,5162.70977655,6072.89873065
2010-10-08,5683.04,17.48,49679.9020299,47.77,20.77,10.95,,5210.47716499,6120.66611909
2010-10-15,5691.7,8.66,47864.7645564,17.48,-75.39,53.34,,5227.94978144,6138.13873554
2010-10-22,5657.24,-34.46,46751.5075145,8.66,58.45,117.83,,5236.60763308,6146.79658717
2010-10-29,5710.89,53.65,43610.1998355,-34.46,47.77,83.23,,5202.13712167,6112.32607577
2010-11-05,5651.49,-59.4,41324.2763689,53.65,17.48,-45.78,,5255.80860396,6165.99755806
2010-11-12,5698.27,46.78,40498.985099,-59.4,8.66,117.87,,5196.38103905,6106.56999314
2010-11-19,5770.97,72.7,40047.048001,46.78,-34.46,-42.31,,5243.18693066,6153.37588475
2010-11-26,5719.39,-51.58,38383.248653,72.7,53.65,34.66,,5315.8932432,6226.0821973
2010-12-03,5852.25,132.86,37894.2711551,-51.58,-59.4,-91.44,,5264.2829443,6174.4718984
2010-12-10,5892.31,40.06,36814.1616051,132.86,46.78,20.77,,5397.18791504,6307.37686913
2010-12-17,6050.01,157.7,36120.7820924,40.06,72.7,-75.39,,5437.22528101,6347.4142351
2010-12-24,6086.06,36.05,34390.6770461,157.7,-51.58,58.45,,5594.95396516,6505.14291926
2010-12-31,,,,,,,,5630.97430196,6541.16325606
2011-01-07,6071.72,-14.34,33423.1919068,36.05,132.86,47.77,,5616.62202496,6526.81097906
2011-01-14,6189.0,117.28,32370.2105909,-14.34,40.06,17.48,,5733.93411468,6644.12306878
2011-01-21,6199.61,10.61,32538.5245082,117.28,157.7,8.66,,5744.51810252,6654.70705662
