,National Price,First Difference,Original Variance,Lag 1,Lag 4,Lag 13,Lag 52,lower National Price,upper National Price
2010-02-19,6130.76,,,,,,,-742.703849624,742.703849624
2010-02-26,6150.95,20.19,,,,,,5605.56927073,6657.44968651
2010-03-05,6146.05,-4.9,,20.19,,,,5625.01453917,6676.89493937
2010-03-12,6052.61,-93.44,,-4.9,,,,5620.10860421,6671.9890044
2010-03-19,6033.04,-19.57,,-93.44,,,,5526.6470211,6578.5274213
2010-03-26,5999.59,-33.45,,-19.57,20.19,,,5507.09503462,6558.97543482
2010-04-02,5979.02,-20.57,,-33.45,-4.9,,,5473.64164652,6525.52204672
2010-04-09,5965.06,-13.96,,-20.57,-93.44,,,5453.07478727,6504.95518747
2010-04-16,5887.1,-77.96,,-13.96,-19.57,,,5439.11639791,6490.99679811
2010-04-23,5779.33,-107.77,,-77.96,-33.45,,,5361.1407954,6413.0211956
2010-04-30,5752.47,-26.86,,-107.77,-20.57,,,5253.36353203,6305.24393223
2010-05-07,5739.29,-13.18,,-26.86,-13.96,,,5226.52325829,6278.40365849
2010-05-14,5661.81,-77.48,,-13.18,-77.96,,,5213.34658844,6265.22698863
2010-05-21,5620.14,-41.67,,-77.48,-107.77,,,5135.85091237,6187.73131257
2010-05-28,5533.2,-86.94,,-41.67,-26.86,20.19,,5094.18964607,6146.07004626
2010-06-04,5374.69,-158.51,66010.8306524,-86.94,-13.18,-4.9,,5007.23860788,6059.11900807
2010-06-11,5426.49,51.8,60214.280492,-158.51,-77.48,-93.44,,4848.71116301,5900.59156321
2010-06-18,5322.56,-103.93,52683.1442326,51.8,-41.67,-19.57,,4900.56243728,5952.44283748
2010-06-25,5336.54,13.98,44625.8736971,-103.93,-86.94,-33.45,,4796.59446045,5848.47486064
2010-07-02,5375.61,39.07,39035.5242409,13.98,-158.51,-20.57,,4810.60321417,5862.48361436
2010-07-09,5386.56,10.95,33721.692212,39.07,51.8,-13.96,,4849.67932368,5901.55972387
2010-07-16,5439.9,53.34,28924.7902585,10.95,-103.93,-77.96,,4860.62246701,5912.5028672
2010-07-23,5557.73,117.83,24673.8356648,53.34,13.98,-107.77,,4913.97280264,5965.85320284
2010-07-30,5640.96,83.23,20286.0362378,117.83,39.07,-26.86,,5031.81852169,6083.69892189
2010-08-06,5595.18,-45.78,17737.710274,83.23,10.95,-13.18,,5115.04008297,6166.92048316
2010-08-13,5713.05,117.87,17633.1041885,-45.78,53.34,-77.48,,5069.22863457,6121.10903476
2010-08-20,5670.74,-42.31,17307.0844386,117.87,117.83,-41.67,,5187.13853734,6239.01893753
2010-08-27,5705.4,34.66,18876.1637582,-42.31,83.23,-86.94,,5144.78947844,6196.66987863
2010-09-03,5613.96,-91.44,21689.5195857,34.66,-45.78,-158.51,,5179.46825194,6231.34865213
2010-09-10,5634.73,20.77,28329.9092351,-91.44,117.87,51.8,,5087.99750632,6139.87790651
2010-09-17,5559.34,-75.39,35275.5084792,20.77,-42.31,-103.93,,5108.79486871,6160.67526891
2010-09-24,5617.79,58.45,38876.3894947,-75.39,34.66,13.98,,5033.38141986,6085.26182006
2010-10-01,5665.56,47.77,45982.0273661,58.45,-91.44,39.07,,5091.8640535,6143.7444537
2010-10-08,5683.04,17.48,49679.9020299,47.77,20.77,10.95,,5139.63144195,6191.51184214
2010-10-15,5691.7,8.66,47864.7645564,17.48,-75.39,53.34,,5157.10405839,6208.98445859
2010-10-22,5657.24,-34.46,46751.5075145,8.66,58.45,117.83,,5165.76191003,6217.64231022
2010-10-29,5710.89,53.65,43610.1998355,-34.46,47.77,83.23,,5131.29139862,6183.17179882
2010-11-05,5651.49,-59.4,41324.2763689,53.65,17.48,-45.78,,5184.96288091,6236.84328111
